-4	60	0
-4	60	-10
-18	42	-12
-48	24	-2
-36	24	8
-52	24	18
-44	26	20
-42	14	28
-18	36	44
-48	-12	50
-6	-26	50
-32	-28	22
-6	36	0
-2	28	24
-4	0	36
-10	-52	4
-22	-14	-26
-36	-40	-16
-24	-24	-20
-62	-24	-8
-38	20	-22
-54	-6	-10
-56	-22	10
-44	-32	24
-54	-48	18
-20	-40	68
-54	-40	50
-44	-72	46
-26	-46	66
-8	-72	46
-4	-82	16
-46	-74	0
-18	-76	10
-16	-62	-6
-12	12	8
-24	-4	8
-16	-2	2
-8	-18	10
-8	-18	8
-32	-24	-8
-24	-6	-18
-10	12	-4
-10	-16	-8
8	62	2
6	54	-10
22	40	-12
38	46	-10
48	40	-2
48	12	18
46	22	34
40	10	48
6	28	44
16	-14	58
8	-14	56
40	-4	8
6	38	18
6	32	32
8	0	36
6	-36	36
16	-12	-28
28	-30	-22
22	-18	-26
54	-28	-22
34	18	-24
56	-28	-4
56	8	-10
42	-22	6
48	-42	2
36	-30	64
54	-36	48
42	-64	34
36	-44	64
6	-74	34
2	-92	8
26	-84	-4
0	-80	2
12	-62	-6
14	16	8
22	6	4
18	-6	0
10	-20	14
10	-20	12
28	-18	-12
22	-6	-14
10	16	-2
6	-18	-10
